Name;URL;Author;Price;Number of ratings;Average rating
"
            How to Win Friends & Influence People
        ";https://www.amazon.com/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1;Dale Carnegie;$9.60;4.7 out of 5 stars;8,051
"
            Fancy Nancy and the Missing Easter Bunny
        ";https://www.amazon.com/Fancy-Nancy-Missing-Easter-Bunny/dp/0062377922?_encoding=UTF8&psc=1;Jane O'Connor;$3.91;4.3 out of 5 stars;17
"
            Before We Were Yours: A Novel
        ";https://www.amazon.com/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1;Lisa Wingate;$15.60;4.7 out of 5 stars;5,885
"
            The Great Alone: A Novel
        ";https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1;Kristin Hannah;$17.39;4.6 out of 5 stars;1,494
"
            The Tale of Peter Rabbit Story Board Book
        ";https://www.amazon.com/Tale-Peter-Rabbit-Story-Board/dp/0723244324?_encoding=UTF8&psc=1;Beatrix Potter;$4.71;4.2 out of 5 stars;932
"
            The Pout-Pout Fish
        ";https://www.amazon.com/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1;Deborah Diesen;$5.79;4.8 out of 5 stars;2,281
"
            The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain
        ";https://www.amazon.com/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1;Dr. Steven R Gundry;$16.79;4.5 out of 5 stars;1,249
"
            Dungeon Master's Guide (D&D Core Rulebook)
        ";https://www.amazon.com/Dungeon-Masters-Guide-Core-Rulebook/dp/0786965622?_encoding=UTF8&psc=1;Wizards RPG Team;$29.97;4.6 out of 5 stars;1,137
"
            Killing the Deep State: The Fight to Save President Trump
        ";https://www.amazon.com/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1;Jerome R. Corsi;$17.99;4.8 out of 5 stars;297
"
            The Itsy Bitsy Bunny
        ";https://www.amazon.com/Itsy-Bitsy-Bunny-Jeffrey-Burton/dp/1481456210?_encoding=UTF8&psc=1;Jeffrey Burton;$5.68;4.8 out of 5 stars;63
"
            Monster Manual (D&D Core Rulebook)
        ";https://www.amazon.com/Monster-Manual-Core-Rulebook-Wizards/dp/0786965614?_encoding=UTF8&psc=1;Wizards RPG Team;$28.34;4.7 out of 5 stars;1,123
"
            Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be
        ";https://www.amazon.com/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1;Rachel Hollis;$13.83;4.9 out of 5 stars;1,123
"
            The Sun and Her Flowers
        ";https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1;Rupi Kaur;$10.19;4.6 out of 5 stars;666
"
            Where Are Baby's Easter Eggs?: A Lift-the-Flap Book
        ";https://www.amazon.com/Where-Babys-Easter-Lift-Flap/dp/1416949240?_encoding=UTF8&psc=1;Karen Katz;$6.99;4.6 out of 5 stars;175
"
            The Rock, the Road, and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began
        ";https://www.amazon.com/Rock-Road-Rabbi-Journey-Scriptural/dp/0785215964?_encoding=UTF8&psc=1;Kathie Lee Gifford;$14.99;4.5 out of 5 stars;60
"
            Baby Touch and Feel: Animals
        ";https://www.amazon.com/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1;DK;$4.19;4.5 out of 5 stars;1,619
"
            Emoji Easter Coloring Book: of Easter Egg Coloring, Cute Animals, Easter Emojis & Funny Bunny Jokes! Easter Bunny Coloring Activity Book, Easter Basket Stuffer for Boys, Girls, Teens & Adults!
        ";https://www.amazon.com/Emoji-Easter-Coloring-Book-Activity/dp/198573060X?_encoding=UTF8&psc=1;Nyx Spectrum;$6.83;Not available;Not available
"
            Magnolia Table: A Collection of Recipes for Gathering
        ";https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1;Joanna Gaines;$17.99;Not available;Not available
"
            Beneath a Scarlet Sky: A Novel
        ";https://www.amazon.com/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1;Mark Sullivan;$8.63;4.8 out of 5 stars;16,937
"
            Try Not to Laugh Challenge, Easter Joke Book for Kids: Easter Basket Stuffer for Boys, Girls, Teens & Adults, Fun Easter Activity Book with Cute ... Easter Activities for the Whole Family!
        ";https://www.amazon.com/Laugh-Challenge-Easter-Joke-Book/dp/1986554902?_encoding=UTF8&psc=1;Easter Bunny Press;$6.94;Not available;Not available
"
            Potty (Leslie Patricelli board books)
        ";https://www.amazon.com/Potty-Leslie-Patricelli-board-books/dp/0763644765?_encoding=UTF8&psc=1;Leslie Patricelli;$4.00;4.6 out of 5 stars;2,973
"
            Bright Baby Touch and Feel Easter
        ";https://www.amazon.com/Bright-Baby-Touch-Feel-Easter/dp/0312513755?_encoding=UTF8&psc=1;Roger Priddy;$4.70;3.5 out of 5 stars;171
"
            Love You Forever
        ";https://www.amazon.com/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1;Robert Munsch;$5.12;4.8 out of 5 stars;6,371
"
            The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals
        ";https://www.amazon.com/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1;Laurel Randolph;$8.99;4.1 out of 5 stars;2,235
"
            What to Expect When You're Expecting
        ";https://www.amazon.com/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1;Heidi Murkoff;$14.34;4.4 out of 5 stars;4,170
"
            Brown Bear, Brown Bear, What Do You See?
        ";https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1;Bill Martin Jr.;$6.08;4.8 out of 5 stars;2,678
"
            Astrophysics for People in a Hurry
        ";https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?_encoding=UTF8&psc=1;Neil deGrasse Tyson;$11.37;4.6 out of 5 stars;2,587
"
            Principles: Life and Work
        ";https://www.amazon.com/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1;Ray Dalio;$18.00;4.4 out of 5 stars;454
"
            I've Been Thinking . . .: Reflections, Prayers, and Meditations for a Meaningful Life
        ";https://www.amazon.com/Ive-Been-Thinking-Reflections-Meditations/dp/0525522603?_encoding=UTF8&psc=1;Maria Shriver;$11.99;4.9 out of 5 stars;160
"
            The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat)
        ";https://www.amazon.com/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1;The College Board;$19.79;4.5 out of 5 stars;216
"
            Call Me by Your Name: A Novel
        ";https://www.amazon.com/Call-Me-Your-Name-Novel/dp/1250169445?_encoding=UTF8&psc=1;André Aciman;$10.13;4.6 out of 5 stars;1,158
"
            Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering
        ";https://www.amazon.com/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1;Paper Peony Press;$6.97;4.5 out of 5 stars;157
"
            Glow15: A Science-Based Plan to Lose Weight, Revitalize Your Skin, and Invigorate Your Life
        ";https://www.amazon.com/Glow15-Science-Based-Weight-Revitalize-Invigorate/dp/1328897672?_encoding=UTF8&psc=1;Naomi Whittel;$15.60;4.2 out of 5 stars;30
"
            Guess How Much I Love You
        ";https://www.amazon.com/Guess-How-Much-Love-You/dp/0763642649?_encoding=UTF8&psc=1;Sam McBratney;$5.49;4.7 out of 5 stars;2,039
"
            There Was an Old Lady Who Swallowed a Chick!
        ";https://www.amazon.com/There-Was-Lady-Swallowed-Chick/dp/0545161819?_encoding=UTF8&psc=1;Lucille Colandro;$4.99;4.8 out of 5 stars;63
"
            Oh, the Places You'll Go!  
        ";https://www.amazon.com/Oh-Places-Youll-Dr-Seuss/dp/0679805273?_encoding=UTF8&psc=1;Dr. Seuss;$15.65;4.9 out of 5 stars;4,031
"
            Pretty Mess
        ";https://www.amazon.com/Pretty-Mess-Erika-Jayne/dp/1501181890?_encoding=UTF8&psc=1;Erika Jayne;$16.20;3.1 out of 5 stars;58
"
            I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer
        ";https://www.amazon.com/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1;Michelle McNamara;$16.95;4.6 out of 5 stars;159
"
            Junie B., First Grader: Dumb Bunny (Book 27)
        ";https://www.amazon.com/Junie-B-First-Grader-Bunny/dp/0375838104?_encoding=UTF8&psc=1;Barbara Park;$4.99;4.6 out of 5 stars;128
"
            Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2)
        ";https://www.amazon.com/Dog-Man-Unleashed-Creator-Underpants/dp/0545935202?_encoding=UTF8&psc=1;Dav Pilkey;$7.99;4.8 out of 5 stars;415
"
            The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence
        ";https://www.amazon.com/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1;Leanne Vogel;$23.41;4.6 out of 5 stars;1,449
"
            Xanathar's Guide to Everything
        ";https://www.amazon.com/Xanathars-Guide-Everything-Wizards-Team/dp/0786966114?_encoding=UTF8&psc=1;Wizards RPG Team;$28.06;4.4 out of 5 stars;355
"
            I Can Only Imagine: A Memoir
        ";https://www.amazon.com/I-Can-Only-Imagine-Memoir/dp/0785216731?_encoding=UTF8&psc=1;Bart Millard;$11.12;5.0 out of 5 stars;187
"
            My First Easter
        ";https://www.amazon.com/My-First-Easter-Tomie-dePaola/dp/0448447908?_encoding=UTF8&psc=1;Tomie dePaola;$5.99;4.1 out of 5 stars;81
"
            Dog Man: From the Creator of Captain Underpants (Dog Man #1)
        ";https://www.amazon.com/Dog-Man-Creator-Captain-Underpants/dp/0545581605?_encoding=UTF8&psc=1;Dav Pilkey;$6.08;4.7 out of 5 stars;353
"
            The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition
        ";https://www.amazon.com/Care-Keeping-You-Younger-Revised/dp/1609580834?_encoding=UTF8&psc=1;Valorie Schaefer;$8.89;4.8 out of 5 stars;2,461
"
            The Alchemist
        ";https://www.amazon.com/Alchemist-Paulo-Coelho/dp/0062315005?_encoding=UTF8&psc=1;Paulo Coelho;$10.19;4.6 out of 5 stars;11,793
"
            Educated: A Memoir
        ";https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?_encoding=UTF8&psc=1;Tara Westover;$16.80;4.7 out of 5 stars;438
"
            Enlightenment Now: The Case for Reason, Science, Humanism, and Progress
        ";https://www.amazon.com/Enlightenment-Now-Science-Humanism-Progress/dp/0525427570?_encoding=UTF8&psc=1;Steven Pinker;$21.00;3.7 out of 5 stars;189
"
            Where Do Diggers Sleep at Night?
        ";https://www.amazon.com/Where-Do-Diggers-Sleep-Night/dp/0385374151?_encoding=UTF8&psc=1;Brianna Caplan Sayres;$5.26;4.8 out of 5 stars;1,264
"
            Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)
        ";https://www.amazon.com/Dog-Man-Kitties-Creator-Underpants/dp/0545935210?_encoding=UTF8&psc=1;Dav Pilkey;$6.08;4.8 out of 5 stars;408
"
            In the Shadow of Statues: A White Southerner Confronts History
        ";https://www.amazon.com/Shadow-Statues-Southerner-Confronts-History/dp/0525559442?_encoding=UTF8&psc=1;Mitch Landrieu;$15.51;3.0 out of 5 stars;34
"
            Thomas and the Easter Eggs (Thomas & Friends) (Little Golden Book)
        ";https://www.amazon.com/Thomas-Easter-Friends-Little-Golden/dp/110193252X?_encoding=UTF8&psc=1;Golden Books;$4.99;4.7 out of 5 stars;31
